Brand,Series,Model,Field,Value,Source path,Verified,Confidence,Used in content
acer,,acer-aspire-5,popularModels_chip,"Aspire 5 Intel",src/content/brands/acer-aspire-5.md,repo_frontmatter,medium,yes
acer,,acer-aspire-5,popularModels_chip,"Aspire 5 Ryzen",src/content/brands/acer-aspire-5.md,repo_frontmatter,medium,yes
acer,,acer-aspire-5,popularModels_chip,Aspire 5 ที่อัปเกรด RAM / SSD แล้ว,src/content/brands/acer-aspire-5.md,repo_frontmatter,medium,yes
acer,,acer-aspire-5,prose_or_frontmatter_mention,AMD Ryzen 3,src/content/brands/acer-aspire-5.md,repo_text,medium_low,yes
acer,,acer-nitro-16,popularModels_chip,"Nitro 16 AN16-41 (AMD Ryzen)",src/content/brands/acer-nitro-16.md,repo_frontmatter,medium,yes
acer,,acer-nitro-16,popularModels_chip,Nitro 16 AN16-51 (Intel Core),src/content/brands/acer-nitro-16.md,repo_frontmatter,medium,yes
acer,,acer-nitro-16,prose_or_frontmatter_mention,Intel Core i7,src/content/brands/acer-nitro-16.md,repo_text,medium_low,yes
acer,,acer-nitro-16,prose_or_frontmatter_mention,AMD Ryzen 7,src/content/brands/acer-nitro-16.md,repo_text,medium_low,yes
acer,,acer-nitro-16,prose_or_frontmatter_mention,RTX 4050,src/content/brands/acer-nitro-16.md,repo_text,medium_low,yes
acer,,acer-nitro-16,prose_or_frontmatter_mention,RTX 4060,src/content/brands/acer-nitro-16.md,repo_text,medium_low,yes
acer,,acer-nitro-16,prose_or_frontmatter_mention,RTX 4070,src/content/brands/acer-nitro-16.md,repo_text,medium_low,yes
acer,,acer-nitro-16,prose_or_frontmatter_mention,RTX 4080,src/content/brands/acer-nitro-16.md,repo_text,medium_low,yes
acer,,acer-nitro-16,prose_or_frontmatter_mention,165Hz,src/content/brands/acer-nitro-16.md,repo_text,medium_low,yes
acer,,acer-nitro-16,prose_or_frontmatter_mention,16 นิ้ว,src/content/brands/acer-nitro-16.md,repo_text,medium_low,yes
acer,,acer-nitro-17,popularModels_chip,"Nitro 17 RTX 4050",src/content/brands/acer-nitro-17.md,repo_frontmatter,medium,yes
acer,,acer-nitro-17,popularModels_chip,"Nitro 17 RTX 4060",src/content/brands/acer-nitro-17.md,repo_frontmatter,medium,yes
acer,,acer-nitro-17,popularModels_chip,Nitro 17 ที่อัปเกรด RAM / SSD แล้ว,src/content/brands/acer-nitro-17.md,repo_frontmatter,medium,yes
acer,,acer-nitro-17,prose_or_frontmatter_mention,RTX 4050,src/content/brands/acer-nitro-17.md,repo_text,medium_low,yes
