URL,Type,Changed?,Before hash,After hash,Reason,Approved workstream,Source
/,Homepage,no,73ab27af21fecf88,73ab27af21fecf88,,,src/pages/index.astro
/รับซื้อ-notebook/,Notebook-English,no,70f1915c33e3ee99,70f1915c33e3ee99,,,src/pages/รับซื้อ-notebook.astro
/รับซื้อโน๊ตบุ๊คมือสอง/,Second-hand,no,b8bef128ad53ca7d,b8bef128ad53ca7d,,,src/pages/รับซื้อโน๊ตบุ๊คมือสอง.astro
/รับซื้อโน๊ตบุ๊คบริษัท/,Secondary service,no,89c68c74a7d14545,89c68c74a7d14545,,,src/pages/รับซื้อโน๊ตบุ๊คบริษัท.astro
/เช็คราคาโน๊ตบุ๊ค/,Price/valuation,no,02dc541afe9ebedc,02dc541afe9ebedc,,,src/pages/เช็คราคาโน๊ตบุ๊ค.astro
/เช็คราคาโน๊ตบุ๊คมือสอง/,Price/valuation,no,833f0037d1ff1935,833f0037d1ff1935,,,src/pages/เช็คราคาโน๊ตบุ๊คมือสอง.astro
/ตีราคาโน๊ตบุ๊ค/,Price/valuation,no,ac244164e3fe2b14,ac244164e3fe2b14,,,src/pages/ตีราคาโน๊ตบุ๊ค.astro
/ขายโน๊ตบุ๊ค/,Secondary service,no,f55e83a14bfff495,f55e83a14bfff495,,,src/pages/ขายโน๊ตบุ๊ค.astro
/ขายโน๊ตบุ๊คด่วน/,Secondary service,no,cf6983a7610f1e32,cf6983a7610f1e32,,,src/pages/ขายโน๊ตบุ๊คด่วน.astro
/วิธีขายโน๊ตบุ๊ค/,Guide,no,32b67c4a6e520a3c,32b67c4a6e520a3c,,,src/pages/วิธีขายโน๊ตบุ๊ค/index.astro
/รับเหมาโน๊ตบุ๊ค/,Secondary service,no,bc7175c3bf3a91d2,bc7175c3bf3a91d2,,,src/pages/รับเหมาโน๊ตบุ๊ค.astro
/รับเหมาคอมพิวเตอร์/,Secondary service,no,9a4f326e75059174,9a4f326e75059174,,,src/pages/รับเหมาคอมพิวเตอร์.astro
/รับประมูลคอม/,Secondary service,no,f6428fa15ca15430,f6428fa15ca15430,,,src/pages/รับประมูลคอม.astro
/พื้นที่ให้บริการ/,Utility,no,c0784f8c70a5442d,c0784f8c70a5442d,,,src/pages/พื้นที่ให้บริการ/index.astro
/คำถามที่พบบ่อย/,FAQ,no,b544fae13203e2cc,b544fae13203e2cc,,,src/pages/คำถามที่พบบ่อย/index.astro
/เกี่ยวกับเรา/,About,no,b1f9a365715a4ac7,b1f9a365715a4ac7,,,src/pages/เกี่ยวกับเรา.astro
/ติดต่อเรา/,Contact,no,bb96b7f409bd4d9b,bb96b7f409bd4d9b,,,src/pages/ติดต่อเรา.astro
/นโยบายความเป็นส่วนตัว/,Legal,no,953832def36da160,953832def36da160,,,src/pages/นโยบายความเป็นส่วนตัว.astro
/ขั้นตอนและเงื่อนไขการให้บริการ/,Legal,no,7fdabbe73d1f206b,7fdabbe73d1f206b,,,src/pages/ขั้นตอนและเงื่อนไขการให้บริการ.astro
/เว็บไซต์ในเครือ/,Utility,no,ef1783d67c1c2ac5,ef1783d67c1c2ac5,,,src/pages/เว็บไซต์ในเครือ/index.astro
/blog/,Blog,no,2e0ae6c7831dd358,2e0ae6c7831dd358,,,src/pages/blog/index.astro
/sitemap/,Utility,no,85d8860d1cf693a8,85d8860d1cf693a8,,,src/pages/sitemap.astro
/รับซื้อโน๊ตบุ๊ค/acer-aspire-5/,Model,yes,c7552543f1d3a8b0,baaf5aa71e38295f,series_model_authority_enrichment,B,src/content/brands/acer-aspire-5.md
/รับซื้อโน๊ตบุ๊ค/acer-nitro-16/,Model,no,ec527268b6371b60,ec527268b6371b60,,,src/content/brands/acer-nitro-16.md
/รับซื้อโน๊ตบุ๊ค/acer-nitro-17/,Model,yes,09a1d2af47337478,1e8c48ec3b79f7c2,series_model_authority_enrichment,B,src/content/brands/acer-nitro-17.md
/รับซื้อโน๊ตบุ๊ค/acer-nitro-v/,Model,no,d49565dddd1c540a,d49565dddd1c540a,,,src/content/brands/acer-nitro-v.md
/รับซื้อโน๊ตบุ๊ค/acer-predator-helios/,Model,yes,cfb159974bc7dda6,4079740bc5f4e2c8,series_model_authority_enrichment,B,src/content/brands/acer-predator-helios.md
/รับซื้อโน๊ตบุ๊ค/acer-predator-neo/,Model,no,1956a71e437be0e7,1956a71e437be0e7,,,src/content/brands/acer-predator-neo.md
/รับซื้อโน๊ตบุ๊ค/acer-predator-triton/,Model,yes,5a2c00c45c3c3640,4d400ca3b0e7cf2b,series_model_authority_enrichment,B,src/content/brands/acer-predator-triton.md
/รับซื้อโน๊ตบุ๊ค/acer-swift/,Series,yes,19d433d0bc3558ae,789222ccaf2ea4b7,series_model_authority_enrichment,B,src/content/brands/acer-swift.md
/รับซื้อโน๊ตบุ๊ค/acer-travelmate/,Series,yes,1134bc51562dd763,1c95e489596e481f,series_model_authority_enrichment,B,src/content/brands/acer-travelmate.md
/รับซื้อโน๊ตบุ๊ค/acer/,Brand,no,92acc8c3dd2efb2f,92acc8c3dd2efb2f,,,src/content/brands/acer.md
/รับซื้อโน๊ตบุ๊ค/alienware-m15-r7-r8/,Model,yes,9672078a05cee4d9,52b79f3dd2d9cfcd,series_model_authority_enrichment,B,src/content/brands/alienware-m15-r7-r8.md
/รับซื้อโน๊ตบุ๊ค/alienware-m16/,Model,yes,0617554cd79ec42f,5559f6cf8e49e49a,series_model_authority_enrichment,B,src/content/brands/alienware-m16.md
/รับซื้อโน๊ตบุ๊ค/alienware-m18/,Model,yes,f8c349a10395ad9c,8d29d8c384a108a1,series_model_authority_enrichment,B,src/content/brands/alienware-m18.md
/รับซื้อโน๊ตบุ๊ค/alienware-x16/,Series,yes,fc000544904c13a5,4b58c54c2c4e39fc,series_model_authority_enrichment,B,src/content/brands/alienware-x16.md
/รับซื้อโน๊ตบุ๊ค/asus-expertbook/,Series,yes,ac833c1488623331,87540bf2b592764f,series_model_authority_enrichment,B,src/content/brands/asus-expertbook.md
/รับซื้อโน๊ตบุ๊ค/asus-rog-ally-x/,Model,yes,71c0c89b40c42f0f,3bc0f5f3fc2d0c2b,series_model_authority_enrichment,B,src/content/brands/asus-rog-ally-x.md
/รับซื้อโน๊ตบุ๊ค/asus-rog-flow/,Model,yes,b3639e4b3315cd3d,bb753c667a90b7a5,series_model_authority_enrichment,B,src/content/brands/asus-rog-flow.md
/รับซื้อโน๊ตบุ๊ค/asus-rog-strix/,Model,no,878381773ff511c5,878381773ff511c5,,,src/content/brands/asus-rog-strix.md
/รับซื้อโน๊ตบุ๊ค/asus-tuf-a15-f15/,Model,no,0f85a37b447a111b,0f85a37b447a111b,,,src/content/brands/asus-tuf-a15-f15.md
/รับซื้อโน๊ตบุ๊ค/asus-vivobook/,Series,yes,f98bcb938886bd36,b2914be5b6cc39e6,series_model_authority_enrichment,B,src/content/brands/asus-vivobook.md
/รับซื้อโน๊ตบุ๊ค/asus-zenbook/,Series,yes,55e73382a7e02c85,ab422759fa0aa642,series_model_authority_enrichment,B,src/content/brands/asus-zenbook.md
/รับซื้อโน๊ตบุ๊ค/asus-zephyrus-g14/,Model,yes,90480b9a7b3083b8,10c6411292a937ce,series_model_authority_enrichment,B,src/content/brands/asus-zephyrus-g14.md
/รับซื้อโน๊ตบุ๊ค/asus-zephyrus-g16/,Model,yes,4f05545b6b50a587,6aecb59bc9b42246,series_model_authority_enrichment,B,src/content/brands/asus-zephyrus-g16.md
/รับซื้อโน๊ตบุ๊ค/asus-zephyrus/,Series,yes,59e5eb80e8a47c37,14f319d9636204a0,series_model_authority_enrichment,B,src/content/brands/asus-zephyrus.md
/รับซื้อโน๊ตบุ๊ค/asus/,Brand,no,2143c1ce3b8fba92,2143c1ce3b8fba92,,,src/content/brands/asus.md
/รับซื้อโน๊ตบุ๊ค/dell-g15-g16/,Model,yes,6966868730cbfc42,74f225982fd3cbef,series_model_authority_enrichment,B,src/content/brands/dell-g15-g16.md
/รับซื้อโน๊ตบุ๊ค/dell-inspiron-15/,Model,yes,fb0750f59d88bce5,4fa4c56213349ce2,series_model_authority_enrichment,B,src/content/brands/dell-inspiron-15.md
/รับซื้อโน๊ตบุ๊ค/dell-latitude/,Series,yes,00d575a0bef58eb0,9b8538f0ca9dcb19,series_model_authority_enrichment,B,src/content/brands/dell-latitude.md
/รับซื้อโน๊ตบุ๊ค/dell-vostro/,Series,yes,3f3d8a0b6780ca9b,c916719ed221187b,series_model_authority_enrichment,B,src/content/brands/dell-vostro.md
/รับซื้อโน๊ตบุ๊ค/dell-xps-13-15/,Model,yes,ec42ce3a108f2d2a,55106ab30faed1c7,series_model_authority_enrichment,B,src/content/brands/dell-xps-13-15.md
/รับซื้อโน๊ตบุ๊ค/dell/,Brand,no,f6344f851fb4c888,f6344f851fb4c888,,,src/content/brands/dell.md
/รับซื้อโน๊ตบุ๊ค/gaming/,Brand,no,56b4e5dbb96bb36e,56b4e5dbb96bb36e,,,src/content/brands/gaming.md
/รับซื้อโน๊ตบุ๊ค/gigabyte-aorus/,Series,yes,d99938368713553c,7052a689262bd0fb,series_model_authority_enrichment,B,src/content/brands/gigabyte-aorus.md
/รับซื้อโน๊ตบุ๊ค/gigabyte/,Brand,no,28e7790a5c4fd85e,28e7790a5c4fd85e,,,src/content/brands/gigabyte.md
/รับซื้อโน๊ตบุ๊ค/honor-magicbook/,Series,yes,b5a78b010c46a538,3f024d38c5c4848d,series_model_authority_enrichment,B,src/content/brands/honor-magicbook.md
/รับซื้อโน๊ตบุ๊ค/honor/,Brand,no,bbca3692da91d04f,bbca3692da91d04f,,,src/content/brands/honor.md
/รับซื้อโน๊ตบุ๊ค/hp-elitebook/,Series,yes,ad5dc0dc29e1c26c,08c3fdf9ec2eeec0,series_model_authority_enrichment,B,src/content/brands/hp-elitebook.md
/รับซื้อโน๊ตบุ๊ค/hp-envy-x360/,Model,yes,b7285653e23094ac,a5aae9b5ceaf918f,series_model_authority_enrichment,B,src/content/brands/hp-envy-x360.md
/รับซื้อโน๊ตบุ๊ค/hp-omen-16/,Model,yes,c22dd492583f2629,f05f9081d9c66b63,series_model_authority_enrichment,B,src/content/brands/hp-omen-16.md
/รับซื้อโน๊ตบุ๊ค/hp-omen-17/,Model,yes,3b670916e39ce3e0,25b7db4f54200b19,series_model_authority_enrichment,B,src/content/brands/hp-omen-17.md
/รับซื้อโน๊ตบุ๊ค/hp-omen-transcend/,Model,yes,4f61e3ef138c7da7,4835113252e8ad96,series_model_authority_enrichment,B,src/content/brands/hp-omen-transcend.md
/รับซื้อโน๊ตบุ๊ค/hp-pavilion/,Series,yes,fe991e6f71046a37,f4ce475a76f0cc20,series_model_authority_enrichment,B,src/content/brands/hp-pavilion.md
/รับซื้อโน๊ตบุ๊ค/hp-probook/,Series,yes,b22b0b06b37fbd2b,b98aaab99f13786f,series_model_authority_enrichment,B,src/content/brands/hp-probook.md
/รับซื้อโน๊ตบุ๊ค/hp-spectre-x360/,Model,yes,bdf3af56ca1462ad,4d1522f621bb1c0e,series_model_authority_enrichment,B,src/content/brands/hp-spectre-x360.md
/รับซื้อโน๊ตบุ๊ค/hp-victus-15/,Model,no,0ea0db6a921c10f7,0ea0db6a921c10f7,,,src/content/brands/hp-victus-15.md
/รับซื้อโน๊ตบุ๊ค/hp-victus-16/,Model,no,50a257e0951654ef,50a257e0951654ef,,,src/content/brands/hp-victus-16.md
/รับซื้อโน๊ตบุ๊ค/hp-victus-17/,Model,yes,fb560c0469defac3,9fc5a0837e92199b,series_model_authority_enrichment,B,src/content/brands/hp-victus-17.md
/รับซื้อโน๊ตบุ๊ค/hp/,Brand,no,75a0119cfd9bb9be,75a0119cfd9bb9be,,,src/content/brands/hp.md
/รับซื้อโน๊ตบุ๊ค/huawei-matebook/,Series,yes,a97b5c0d131bf1cb,d4b28b067bd86168,series_model_authority_enrichment,B,src/content/brands/huawei-matebook.md
/รับซื้อโน๊ตบุ๊ค/huawei/,Brand,no,ed8f34a028c6f9d4,ed8f34a028c6f9d4,,,src/content/brands/huawei.md
/รับซื้อโน๊ตบุ๊ค/lenovo-ideapad-3-5/,Model,yes,e94c168959b6595d,e5fa33a9b065d93e,series_model_authority_enrichment,B,src/content/brands/lenovo-ideapad-3-5.md
/รับซื้อโน๊ตบุ๊ค/lenovo-legion-5/,Model,no,4331bb9da81ce850,4331bb9da81ce850,,,src/content/brands/lenovo-legion-5.md
/รับซื้อโน๊ตบุ๊ค/lenovo-legion-pro-7/,Model,yes,cda478ff12b00cd6,07b071c6d6af1b4d,series_model_authority_enrichment,B,src/content/brands/lenovo-legion-pro-7.md
/รับซื้อโน๊ตบุ๊ค/lenovo-legion-pro/,Model,no,a7e0cfe29f8c5c94,a7e0cfe29f8c5c94,,,src/content/brands/lenovo-legion-pro.md
/รับซื้อโน๊ตบุ๊ค/lenovo-legion-slim/,Model,no,412fc96e37986082,412fc96e37986082,,,src/content/brands/lenovo-legion-slim.md
/รับซื้อโน๊ตบุ๊ค/lenovo-loq-15-16/,Model,no,421e2f57978619c4,421e2f57978619c4,,,src/content/brands/lenovo-loq-15-16.md
/รับซื้อโน๊ตบุ๊ค/lenovo-thinkbook/,Series,yes,f43f210212d35107,7bfbf8a5b9a3c8e3,series_model_authority_enrichment,B,src/content/brands/lenovo-thinkbook.md
/รับซื้อโน๊ตบุ๊ค/lenovo-yoga/,Series,yes,90f4a12cd432a9e1,f6c438789601726e,series_model_authority_enrichment,B,src/content/brands/lenovo-yoga.md
/รับซื้อโน๊ตบุ๊ค/lenovo/,Brand,no,4242c369b1993f1b,4242c369b1993f1b,,,src/content/brands/lenovo.md
/รับซื้อโน๊ตบุ๊ค/lg-gram/,Series,yes,6bcebe334cb9c53f,51fb63a368986392,series_model_authority_enrichment,B,src/content/brands/lg-gram.md
/รับซื้อโน๊ตบุ๊ค/lg/,Brand,no,304b75e173508fa0,304b75e173508fa0,,,src/content/brands/lg.md
/รับซื้อโน๊ตบุ๊ค/macbook-air-13/,Model,yes,633a0e9347103545,d1bb8178686b0c96,series_model_authority_enrichment,B,src/content/brands/macbook-air-13.md
/รับซื้อโน๊ตบุ๊ค/macbook-air-15/,Model,yes,206aaab054519360,5461244710a78356,series_model_authority_enrichment,B,src/content/brands/macbook-air-15.md
/รับซื้อโน๊ตบุ๊ค/macbook-air-m1/,Model,no,cf8a7dc008cb2037,cf8a7dc008cb2037,,,src/content/brands/macbook-air-m1.md
/รับซื้อโน๊ตบุ๊ค/macbook-air-m2/,Model,no,545eebdf3ce39af3,545eebdf3ce39af3,,,src/content/brands/macbook-air-m2.md
/รับซื้อโน๊ตบุ๊ค/macbook-air-m3/,Model,yes,cc4c7ac15d34db70,d47e17bf6378907b,series_model_authority_enrichment,B,src/content/brands/macbook-air-m3.md
/รับซื้อโน๊ตบุ๊ค/macbook-air-m4/,Model,yes,643566ea53e366a5,81600c2db77d1817,series_model_authority_enrichment,B,src/content/brands/macbook-air-m4.md
/รับซื้อโน๊ตบุ๊ค/macbook-air-m5/,Model,yes,3e765e671dc12210,bf177fef6f3b87f2,series_model_authority_enrichment,B,src/content/brands/macbook-air-m5.md
/รับซื้อโน๊ตบุ๊ค/macbook-pro-14/,Model,yes,9ee10875963cbfbc,9385bd234e41046c,series_model_authority_enrichment,B,src/content/brands/macbook-pro-14.md
/รับซื้อโน๊ตบุ๊ค/macbook-pro-16/,Model,yes,be97c19d40b6782e,519ed4050178a51b,series_model_authority_enrichment,B,src/content/brands/macbook-pro-16.md
/รับซื้อโน๊ตบุ๊ค/macbook-pro-m1/,Model,no,236de42a2c8dcf08,236de42a2c8dcf08,,,src/content/brands/macbook-pro-m1.md
/รับซื้อโน๊ตบุ๊ค/macbook-pro-m2/,Model,no,dbfb50bd07e9f17a,dbfb50bd07e9f17a,,,src/content/brands/macbook-pro-m2.md
/รับซื้อโน๊ตบุ๊ค/macbook-pro-m3/,Model,no,018384c5ba40ccbd,018384c5ba40ccbd,,,src/content/brands/macbook-pro-m3.md
/รับซื้อโน๊ตบุ๊ค/macbook-pro-m4/,Model,no,efbf319468794a6e,efbf319468794a6e,,,src/content/brands/macbook-pro-m4.md
/รับซื้อโน๊ตบุ๊ค/macbook-pro-m5/,Model,yes,5506dd985b9a8e06,64b2d61adf173983,series_model_authority_enrichment,B,src/content/brands/macbook-pro-m5.md
/รับซื้อโน๊ตบุ๊ค/macbook/,Brand,no,56bf3fa8cf5db099,56bf3fa8cf5db099,,,src/content/brands/macbook.md
/รับซื้อโน๊ตบุ๊ค/msi-cyborg-15/,Model,yes,95a9ce914fb323d8,819a71077eab9222,series_model_authority_enrichment,B,src/content/brands/msi-cyborg-15.md
/รับซื้อโน๊ตบุ๊ค/msi-katana-15/,Model,yes,9416a1e0463687bb,d50f18829b8950de,series_model_authority_enrichment,B,src/content/brands/msi-katana-15.md
/รับซื้อโน๊ตบุ๊ค/msi-modern/,Series,yes,eed0929fe5c30766,7a1f9bfc70c1134f,series_model_authority_enrichment,B,src/content/brands/msi-modern.md
/รับซื้อโน๊ตบุ๊ค/msi-raider-18/,Model,yes,c2777af6b037bd37,e5da5c9125bdf9e0,series_model_authority_enrichment,B,src/content/brands/msi-raider-18.md
/รับซื้อโน๊ตบุ๊ค/msi-stealth-14/,Model,yes,19054d1844d2d099,ede63ea32cda4d8d,series_model_authority_enrichment,B,src/content/brands/msi-stealth-14.md
/รับซื้อโน๊ตบุ๊ค/msi-stealth-16/,Model,yes,340b1c4acd156cab,d4bcec7e3639e168,series_model_authority_enrichment,B,src/content/brands/msi-stealth-16.md
/รับซื้อโน๊ตบุ๊ค/msi-vector-16-hx/,Model,yes,60ed7a65ad06234c,0c4721fc786d452c,series_model_authority_enrichment,B,src/content/brands/msi-vector-16-hx.md
/รับซื้อโน๊ตบุ๊ค/msi/,Brand,no,b391c8241e820221,b391c8241e820221,,,src/content/brands/msi.md
/รับซื้อโน๊ตบุ๊ค/razer-blade/,Series,yes,a1ebc10bfb19b875,f3a912f47de1858b,series_model_authority_enrichment,B,src/content/brands/razer-blade.md
/รับซื้อโน๊ตบุ๊ค/razer/,Brand,no,4a0b93c80f2d047e,4a0b93c80f2d047e,,,src/content/brands/razer.md
/รับซื้อโน๊ตบุ๊ค/samsung-galaxy-book/,Model,yes,4f623db4b4e14c33,f303eeb76458cd2f,series_model_authority_enrichment,B,src/content/brands/samsung-galaxy-book.md
