source_url,area,entity_slug,location_target,entity_target,location_target_status,entity_target_status,location_similarity,entity_similarity,ambiguity,gsc_last_crawl,recommended_action,confidence,reason
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ชัยนาท/macbook-air-m2/,ชัยนาท,macbook-air-m2,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ชัยนาท/,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/macbook-air-m2/,200 indexable self-canonical,200 indexable self-canonical,high location / low entity,high entity / low location,high,2026-07-24,KEEP_404,high,Both plausible targets preserve only one dimension of the original intent; no single exact target exists.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/อำนาจเจริญ/asus-rog-flow/,อำนาจเจริญ,asus-rog-flow,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/อำนาจเจริญ/,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus-rog-flow/,200 indexable self-canonical,200 indexable self-canonical,high location / low entity,high entity / low location,high,2026-07-24,KEEP_404,high,Both plausible targets preserve only one dimension of the original intent; no single exact target exists.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/นครนายก/macbook-pro-m2/,นครนายก,macbook-pro-m2,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/นครนายก/,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/macbook-pro-m2/,200 indexable self-canonical,200 indexable self-canonical,high location / low entity,high entity / low location,high,2026-07-23,KEEP_404,high,Both plausible targets preserve only one dimension of the original intent; no single exact target exists.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/หนองคาย/alienware-m18/,หนองคาย,alienware-m18,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/หนองคาย/,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/alienware-m18/,200 indexable self-canonical,200 indexable self-canonical,high location / low entity,high entity / low location,high,2026-07-19,KEEP_404,high,Both plausible targets preserve only one dimension of the original intent; no single exact target exists.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ลพบุรี/macbook-air-15/,ลพบุรี,macbook-air-15,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ลพบุรี/,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/macbook-air-15/,200 indexable self-canonical,200 indexable self-canonical,high location / low entity,high entity / low location,high,2026-07-09,KEEP_404,high,Both plausible targets preserve only one dimension of the original intent; no single exact target exists.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ชัยนาท/กล้องเสีย/,ชัยนาท,กล้องเสีย,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ชัยนาท/,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/กล้องเสีย/,200 indexable self-canonical,200 indexable self-canonical,high location / low entity,high entity / low location,high,2026-07-08,KEEP_404,high,Both plausible targets preserve only one dimension of the original intent; no single exact target exists.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ชัยภูมิ/asus-zephyrus-g14/,ชัยภูมิ,asus-zephyrus-g14,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ชัยภูมิ/,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus-zephyrus-g14/,200 indexable self-canonical,200 indexable self-canonical,high location / low entity,high entity / low location,high,2026-07-08,KEEP_404,high,Both plausible targets preserve only one dimension of the original intent; no single exact target exists.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/อยุธยา/จอไม่ติดแต่เครื่องติด/,อยุธยา,จอไม่ติดแต่เครื่องติด,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/อยุธยา/,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/จอไม่ติดแต่เครื่องติด/,200 indexable self-canonical,200 indexable self-canonical,high location / low entity,high entity / low location,high,2026-07-08,KEEP_404,high,Both plausible targets preserve only one dimension of the original intent; no single exact target exists.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/อำนาจเจริญ/macbook-pro-14/,อำนาจเจริญ,macbook-pro-14,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/อำนาจเจริญ/,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/macbook-pro-14/,200 indexable self-canonical,200 indexable self-canonical,high location / low entity,high entity / low location,high,2026-07-08,KEEP_404,high,Both plausible targets preserve only one dimension of the original intent; no single exact target exists.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/อุตรดิตถ์/lenovo-loq-15-16/,อุตรดิตถ์,lenovo-loq-15-16,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/อุตรดิตถ์/,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo-loq-15-16/,200 indexable self-canonical,200 indexable self-canonical,high location / low entity,high entity / low location,high,2026-07-07,KEEP_404,high,Both plausible targets preserve only one dimension of the original intent; no single exact target exists.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ใกล้ฉัน/hp-elitebook/,ใกล้ฉัน,hp-elitebook,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ใกล้ฉัน/,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/hp-elitebook/,200 indexable self-canonical,200 indexable self-canonical,high location / low entity,high entity / low location,high,2026-07-07,KEEP_404,high,Both plausible targets preserve only one dimension of the original intent; no single exact target exists.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/พะเยา/lenovo-yoga/,พะเยา,lenovo-yoga,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/พะเยา/,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo-yoga/,200 indexable self-canonical,200 indexable self-canonical,high location / low entity,high entity / low location,high,2026-07-06,KEEP_404,high,Both plausible targets preserve only one dimension of the original intent; no single exact target exists.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/นครปฐม/macbook-air-m2/,นครปฐม,macbook-air-m2,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/นครปฐม/,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/macbook-air-m2/,200 indexable self-canonical,200 indexable self-canonical,high location / low entity,high entity / low location,high,2026-07-06,KEEP_404,high,Both plausible targets preserve only one dimension of the original intent; no single exact target exists.
