source_url,page_type,last_crawl,last_crawl_age_days,production_status,dist_exists,indexability,in_sitemap,canonical,internal_links,thin_risk,duplicate_risk,cannibalization_risk,canonical_mismatch,noindex_history_signal,recommended_action,priority,reason
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/บุรีรัมย์/,location_or_service,2026-07-08,22,200,true,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/บุรีรัมย์/,27,low,medium,low,false,none observed,HOLD_MONITOR,P2,Indexable route remains crawled-not-indexed; monitor and review quality/internal links without forcing indexation.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/dell-xps-13-15/,model_or_service,2026-07-05,25,200,true,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/dell-xps-13-15/,5,low,medium,low,false,none observed,HOLD_MONITOR,P1,Indexable route remains crawled-not-indexed; monitor and review quality/internal links without forcing indexation.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/รับซื้อ-thinkpad-x1-carbon-t14-e14-e15-ราคาเท่าไหร่/,blog,2026-07-05,25,200,true,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/รับซื้อ-thinkpad-x1-carbon-t14-e14-e15-ราคาเท่าไหร่/,5,medium,medium,low,false,none observed,HOLD_MONITOR,P3,Indexable route remains crawled-not-indexed; monitor and review quality/internal links without forcing indexation.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/กาญจนบุรี/,location_or_service,2026-07-05,25,200,true,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/กาญจนบุรี/,27,low,medium,low,false,none observed,HOLD_MONITOR,P2,Indexable route remains crawled-not-indexed; monitor and review quality/internal links without forcing indexation.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/macbook-air-m3/,model_or_service,2026-07-05,25,200,true,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/macbook-air-m3/,4,low,medium,low,false,none observed,HOLD_MONITOR,P1,Indexable route remains crawled-not-indexed; monitor and review quality/internal links without forcing indexation.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/samsung-galaxy-book/,model_or_service,2026-07-04,26,200,true,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/samsung-galaxy-book/,5,medium,medium,low,false,none observed,HOLD_MONITOR,P1,Indexable route remains crawled-not-indexed; monitor and review quality/internal links without forcing indexation.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/macbook-ติด-mdm-ขายได้ไหม/,blog,2026-07-04,26,200,true,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/macbook-ติด-mdm-ขายได้ไหม/,4,medium,medium,low,false,none observed,HOLD_MONITOR,P3,Indexable route remains crawled-not-indexed; monitor and review quality/internal links without forcing indexation.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/รับซื้อโน๊ตบุ๊ค-core-i5-i7-ryzen-5-7-ราคาเท่าไหร่/,blog,2026-07-04,26,200,true,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/รับซื้อโน๊ตบุ๊ค-core-i5-i7-ryzen-5-7-ราคาเท่าไหร่/,3,low,medium,low,false,none observed,HOLD_MONITOR,P3,Indexable route remains crawled-not-indexed; monitor and review quality/internal links without forcing indexation.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/สงขลา/,location_or_service,2026-07-04,26,200,true,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/สงขลา/,27,low,medium,low,false,none observed,HOLD_MONITOR,P2,Indexable route remains crawled-not-indexed; monitor and review quality/internal links without forcing indexation.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ลพบุรี/,location_or_service,2026-07-04,26,200,true,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ลพบุรี/,27,low,medium,low,false,none observed,HOLD_MONITOR,P2,Indexable route remains crawled-not-indexed; monitor and review quality/internal links without forcing indexation.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ยโสธร/,location_or_service,2026-07-04,26,200,true,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ยโสธร/,27,low,medium,low,false,none observed,HOLD_MONITOR,P2,Indexable route remains crawled-not-indexed; monitor and review quality/internal links without forcing indexation.
