source_file,field,generated_url,before,after,change_method,validation_status
src/content/brands/acer-nitro-16.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-nitro-16/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/acer-nitro-16.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-nitro-16/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/acer-nitro-v.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-nitro-v/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/acer-nitro-v.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-nitro-v/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/acer-predator-neo.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-predator-neo/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/acer-predator-neo.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-predator-neo/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/acer-swift.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-swift/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/acer-swift.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-swift/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/acer-travelmate.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-travelmate/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/acer-travelmate.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-travelmate/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
