source_file,line,field,context,generated_url,output_location,root_cause,recommended_fix,selected_for_change
src/content/brands/acer-nitro-16.md,4,description,description: รับซื้อ Acer Nitro 16 มือสอง หลายรุ่นยอดนิยมยอดนิยม ประเมินราคาตามสเปกการ์ดจอแยก สภาพพัดลมระบายความร้อน และระดับสุขภาพแบตเตอรี่ ส่งรูปเช็คราคาประเมินอ้างอิงทาง LINE @webuy ได้อย่างรวดเร็ว,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-nitro-16/,meta description|body intro|WebPage/Service schema,literal_frontmatter_duplication,"replace exact ""ยอดนิยมยอดนิยม"" with ""ยอดนิยม""",true
src/content/brands/acer-nitro-16.md,7,pageH1,pageH1: รับซื้อ Acer Nitro 16 มือสอง หลายรุ่นยอดนิยมยอดนิยม,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-nitro-16/,H1,literal_frontmatter_duplication,"replace exact ""ยอดนิยมยอดนิยม"" with ""ยอดนิยม""",true
src/content/brands/acer-nitro-v.md,4,description,description: รับซื้อ Acer Nitro V มือสอง หลายรุ่นยอดนิยมยอดนิยม ประเมินราคาตามสเปกการ์ดจอแยก สภาพพัดลมระบายความร้อน และระดับสุขภาพแบตเตอรี่ ส่งรูปเช็คราคาประเมินอ้างอิงทาง LINE @webuy ได้อย่างรวดเร็ว,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-nitro-v/,meta description|body intro|WebPage/Service schema,literal_frontmatter_duplication,"replace exact ""ยอดนิยมยอดนิยม"" with ""ยอดนิยม""",true
src/content/brands/acer-nitro-v.md,7,pageH1,pageH1: รับซื้อ Acer Nitro V มือสอง หลายรุ่นยอดนิยมยอดนิยม,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-nitro-v/,H1,literal_frontmatter_duplication,"replace exact ""ยอดนิยมยอดนิยม"" with ""ยอดนิยม""",true
src/content/brands/acer-predator-neo.md,4,description,description: รับซื้อ Acer Predator Helios Neo มือสอง หลายรุ่นยอดนิยมยอดนิยม ประเมินราคาตามสเปกการ์ดจอแยก สภาพพัดลมระบายความร้อน และบอดี้พรีเมียม ส่งรูปเช็คราคาประเมินอ้างอิงทาง LINE @webuy ได้อย่างรวดเร็ว,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-predator-neo/,meta description|body intro|WebPage/Service schema,literal_frontmatter_duplication,"replace exact ""ยอดนิยมยอดนิยม"" with ""ยอดนิยม""",true
src/content/brands/acer-predator-neo.md,7,pageH1,pageH1: รับซื้อ Acer Predator Helios Neo มือสอง หลายรุ่นยอดนิยมยอดนิยม,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-predator-neo/,H1,literal_frontmatter_duplication,"replace exact ""ยอดนิยมยอดนิยม"" with ""ยอดนิยม""",true
src/content/brands/acer-swift.md,4,description,description: รับซื้อ Acer Swift มือสอง หลายรุ่นยอดนิยมยอดนิยม ประเมินราคาตามสเปก สภาพตัวเครื่องบางเบา และระดับสุขภาพแบตเตอรี่ ส่งรูปเช็คราคาประเมินอ้างอิงทาง LINE @webuy ได้อย่างรวดเร็ว ตอบกลับรวดเร็ว,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-swift/,meta description|body intro|WebPage/Service schema,literal_frontmatter_duplication,"replace exact ""ยอดนิยมยอดนิยม"" with ""ยอดนิยม""",true
src/content/brands/acer-swift.md,7,pageH1,pageH1: รับซื้อ Acer Swift มือสอง หลายรุ่นยอดนิยมยอดนิยม,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-swift/,H1,literal_frontmatter_duplication,"replace exact ""ยอดนิยมยอดนิยม"" with ""ยอดนิยม""",true
src/content/brands/acer-travelmate.md,4,description,description: รับซื้อ Acer TravelMate มือสอง หลายรุ่นยอดนิยมยอดนิยม ประเมินราคาตามสเปก สภาพตัวเครื่องทนทานเกรดธุรกิจ และระดับสุขภาพแบตเตอรี่ ส่งรูปเช็คราคาประเมินอ้างอิงทาง LINE @webuy ได้อย่างรวดเร็ว,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-travelmate/,meta description|body intro|WebPage/Service schema,literal_frontmatter_duplication,"replace exact ""ยอดนิยมยอดนิยม"" with ""ยอดนิยม""",true
src/content/brands/acer-travelmate.md,7,pageH1,pageH1: รับซื้อ Acer TravelMate มือสอง หลายรุ่นยอดนิยมยอดนิยม,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-travelmate/,H1,literal_frontmatter_duplication,"replace exact ""ยอดนิยมยอดนิยม"" with ""ยอดนิยม""",true
