source_url,page_type,last_crawl,production_status,indexability,in_sitemap,canonical,duplicate_title,duplicate_description,duplicate_h1,near_duplicate_body,template_overlap,cannibalization,thin_content,generic_location_content,generic_model_content,internal_linking_weakness,existing_indexed_substitute,canonical_mismatch,historical_noindex,crawl_recency,business_value,decision,reason
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/บุรีรัมย์/,location_or_service,2026-07-08,200,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/บุรีรัมย์/,false,false,false,medium,high,low,low,true,not_applicable,false,none_confirmed,false,none observed,22 days at export,medium,CONSOLIDATE_LATER,Indexable location page has substantial template overlap; review as a cohort after longer GSC observation.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/dell-xps-13-15/,model_or_service,2026-07-05,200,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/dell-xps-13-15/,false,false,false,medium,medium,low,low,false,medium_risk,false,none_confirmed,false,none observed,25 days at export,medium_high,IMPROVE,Indexable business-relevant page warrants a future page-specific quality pass; Batch 2A does not alter non-discovered targets.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/รับซื้อ-thinkpad-x1-carbon-t14-e14-e15-ราคาเท่าไหร่/,blog,2026-07-05,200,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/รับซื้อ-thinkpad-x1-carbon-t14-e14-e15-ราคาเท่าไหร่/,false,false,false,medium,medium,low,medium,false,not_applicable,false,none_confirmed,false,none observed,25 days at export,medium,NO_ACTION,No technical regression or exact consolidation target is established; retain and monitor.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/กาญจนบุรี/,location_or_service,2026-07-05,200,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/กาญจนบุรี/,false,false,false,medium,high,low,low,true,not_applicable,false,none_confirmed,false,none observed,25 days at export,medium,CONSOLIDATE_LATER,Indexable location page has substantial template overlap; review as a cohort after longer GSC observation.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/macbook-air-m3/,model_or_service,2026-07-05,200,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/macbook-air-m3/,false,false,false,medium,medium,low,low,false,medium_risk,false,none_confirmed,false,none observed,25 days at export,medium_high,IMPROVE,Indexable business-relevant page warrants a future page-specific quality pass; Batch 2A does not alter non-discovered targets.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/samsung-galaxy-book/,model_or_service,2026-07-04,200,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/samsung-galaxy-book/,false,false,false,medium,medium,low,medium,false,medium_risk,false,none_confirmed,false,none observed,26 days at export,medium_high,IMPROVE,Indexable business-relevant page warrants a future page-specific quality pass; Batch 2A does not alter non-discovered targets.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/macbook-ติด-mdm-ขายได้ไหม/,blog,2026-07-04,200,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/macbook-ติด-mdm-ขายได้ไหม/,false,false,false,medium,medium,low,medium,false,not_applicable,false,none_confirmed,false,none observed,26 days at export,medium,NO_ACTION,No technical regression or exact consolidation target is established; retain and monitor.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/รับซื้อโน๊ตบุ๊ค-core-i5-i7-ryzen-5-7-ราคาเท่าไหร่/,blog,2026-07-04,200,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/รับซื้อโน๊ตบุ๊ค-core-i5-i7-ryzen-5-7-ราคาเท่าไหร่/,false,false,false,medium,medium,low,low,false,not_applicable,true,none_confirmed,false,none observed,26 days at export,medium,NO_ACTION,No technical regression or exact consolidation target is established; retain and monitor.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/สงขลา/,location_or_service,2026-07-04,200,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/สงขลา/,false,false,false,medium,high,low,low,true,not_applicable,false,none_confirmed,false,none observed,26 days at export,medium,CONSOLIDATE_LATER,Indexable location page has substantial template overlap; review as a cohort after longer GSC observation.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ลพบุรี/,location_or_service,2026-07-04,200,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ลพบุรี/,false,false,false,medium,high,low,low,true,not_applicable,false,none_confirmed,false,none observed,26 days at export,medium,CONSOLIDATE_LATER,Indexable location page has substantial template overlap; review as a cohort after longer GSC observation.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ยโสธร/,location_or_service,2026-07-04,200,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ยโสธร/,false,false,false,medium,high,low,low,true,not_applicable,false,none_confirmed,false,none observed,26 days at export,medium,CONSOLIDATE_LATER,Indexable location page has substantial template overlap; review as a cohort after longer GSC observation.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/วิธีดูสเปก-cpu-ram-ssd-ของโน๊ตบุ๊ค/,blog,2026-07-04,200,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/วิธีดูสเปก-cpu-ram-ssd-ของโน๊ตบุ๊ค/,false,false,false,medium,medium,low,medium,false,not_applicable,false,none_confirmed,false,none observed,26 days at export,medium,NO_ACTION,No technical regression or exact consolidation target is established; retain and monitor.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ตาก/,location_or_service,2026-07-04,200,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ตาก/,false,false,false,medium,high,low,low,true,not_applicable,false,none_confirmed,false,none observed,26 days at export,medium,CONSOLIDATE_LATER,Indexable location page has substantial template overlap; review as a cohort after longer GSC observation.
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/อำนาจเจริญ/,location_or_service,2026-07-04,200,indexable,true,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/อำนาจเจริญ/,false,false,false,medium,high,low,low,true,not_applicable,false,none_confirmed,false,none observed,26 days at export,medium,CONSOLIDATE_LATER,Indexable location page has substantial template overlap; review as a cohort after longer GSC observation.
