source,verdict,templateHits,bodyLen,issues
src/content/brands/acer-aspire-5.md,PASS,0,1126,""
src/content/brands/acer-nitro-16.md,PASS,0,1984,""
src/content/brands/acer-nitro-17.md,PASS,0,1084,""
src/content/brands/acer-nitro-v.md,PASS,0,1999,""
src/content/brands/acer-predator-helios.md,PASS,0,1127,""
src/content/brands/acer-predator-neo.md,PASS,0,1980,""
src/content/brands/acer-predator-triton.md,PASS,0,1131,""
src/content/brands/acer-swift.md,PASS,0,2163,""
src/content/brands/acer-travelmate.md,PASS,0,2153,""
src/content/brands/acer.md,PASS,0,3968,""
src/content/brands/alienware-m15-r7-r8.md,PASS,0,1182,""
src/content/brands/alienware-m16.md,PASS,0,1175,""
src/content/brands/alienware-m18.md,PASS,0,1111,""
src/content/brands/alienware-x16.md,PASS,0,1169,""
src/content/brands/asus-expertbook.md,PASS,0,2147,""
src/content/brands/asus-rog-ally-x.md,PASS,0,1126,""
src/content/brands/asus-rog-flow.md,PASS,0,1148,""
src/content/brands/asus-rog-strix.md,PASS,0,2165,""
src/content/brands/asus-tuf-a15-f15.md,PASS,0,2099,""
src/content/brands/asus-vivobook.md,PASS,0,2090,""
src/content/brands/asus-zenbook.md,PASS,0,2098,""
src/content/brands/asus-zephyrus-g14.md,PASS,0,1132,""
src/content/brands/asus-zephyrus-g16.md,PASS,0,1140,""
src/content/brands/asus-zephyrus.md,PASS,0,2351,""
src/content/brands/asus.md,PASS,0,3818,""
src/content/brands/dell-g15-g16.md,PASS,0,1151,""
src/content/brands/dell-inspiron-15.md,PASS,0,1127,""
src/content/brands/dell-latitude.md,PASS,0,2241,""
src/content/brands/dell-vostro.md,PASS,0,2078,""
src/content/brands/dell-xps-13-15.md,PASS,0,1122,""
src/content/brands/dell.md,PASS,0,3641,""
src/content/brands/gaming.md,PASS,0,11745,""
src/content/brands/gigabyte-aorus.md,PASS,0,1251,""
src/content/brands/gigabyte.md,PASS,0,1222,""
src/content/brands/honor-magicbook.md,PASS,0,1107,""
src/content/brands/honor.md,PASS,0,1120,""
src/content/brands/hp-elitebook.md,PASS,0,2154,""
src/content/brands/hp-envy-x360.md,PASS,0,1074,""
src/content/brands/hp-omen-16.md,PASS,0,1023,""
src/content/brands/hp-omen-17.md,PASS,0,1080,""
src/content/brands/hp-omen-transcend.md,PASS,0,1172,""
src/content/brands/hp-pavilion.md,PASS,0,2025,""
src/content/brands/hp-probook.md,PASS,0,2117,""
src/content/brands/hp-spectre-x360.md,PASS,0,1180,""
src/content/brands/hp-victus-15.md,PASS,0,1924,""
src/content/brands/hp-victus-16.md,PASS,0,1944,""
src/content/brands/hp-victus-17.md,PASS,0,1135,""
src/content/brands/hp.md,PASS,0,3831,""
src/content/brands/huawei-matebook.md,PASS,0,1143,""
src/content/brands/huawei.md,PASS,0,3203,""
src/content/brands/lenovo-ideapad-3-5.md,PASS,0,1210,""
src/content/brands/lenovo-legion-5.md,PASS,0,1799,""
src/content/brands/lenovo-legion-pro-7.md,PASS,0,675,""
src/content/brands/lenovo-legion-pro.md,PASS,0,2360,""
src/content/brands/lenovo-legion-slim.md,PASS,0,2349,""
src/content/brands/lenovo-loq-15-16.md,PASS,0,2170,""
src/content/brands/lenovo-thinkbook.md,PASS,0,2145,""
src/content/brands/lenovo-yoga.md,PASS,0,2199,""
src/content/brands/lenovo.md,PASS,0,4197,""
src/content/brands/lg-gram.md,PASS,0,1101,""
src/content/brands/lg.md,PASS,0,1183,""
src/content/brands/macbook-air-13.md,PASS,0,388,""
src/content/brands/macbook-air-15.md,PASS,0,378,""
src/content/brands/macbook-air-m1.md,PASS,0,1974,""
src/content/brands/macbook-air-m2.md,PASS,0,2064,""
src/content/brands/macbook-air-m3.md,PASS,0,1212,""
src/content/brands/macbook-air-m4.md,PASS,0,534,""
src/content/brands/macbook-air-m5.md,PASS,0,521,""
src/content/brands/macbook-pro-14.md,PASS,0,398,""
src/content/brands/macbook-pro-16.md,PASS,0,372,""
src/content/brands/macbook-pro-m1.md,PASS,0,2088,""
src/content/brands/macbook-pro-m2.md,PASS,0,2074,""
src/content/brands/macbook-pro-m3.md,PASS,0,2050,""
src/content/brands/macbook-pro-m4.md,PASS,0,2012,""
src/content/brands/macbook-pro-m5.md,PASS,0,1294,""
src/content/brands/macbook.md,PASS,0,3914,""
src/content/brands/msi-cyborg-15.md,PASS,0,524,""
src/content/brands/msi-katana-15.md,PASS,0,529,""
src/content/brands/msi-modern.md,PASS,0,2041,""
src/content/brands/msi-raider-18.md,PASS,0,522,""
src/content/brands/msi-stealth-14.md,PASS,0,519,""
src/content/brands/msi-stealth-16.md,PASS,0,537,""
src/content/brands/msi-vector-16-hx.md,PASS,0,698,""
src/content/brands/msi.md,PASS,0,3721,""
src/content/brands/razer-blade.md,PASS,0,1202,""
src/content/brands/razer.md,PASS,0,1180,""
src/content/brands/samsung-galaxy-book.md,PASS,0,343,""
src/content/brands/samsung.md,PASS,0,3264,""
src/content/brands/surface-book.md,PASS,0,1266,""
src/content/brands/surface-laptop-go.md,PASS,0,1165,""
src/content/brands/surface-laptop.md,PASS,0,2332,""
src/content/brands/surface-pro.md,PASS,0,2315,""
src/content/brands/surface.md,PASS,0,3514,""
src/content/brands/thinkpad-e14-e15.md,PASS,0,2197,""
src/content/brands/thinkpad-t14.md,PASS,0,2161,""
src/content/brands/thinkpad-x1-carbon.md,PASS,0,2300,""
src/content/conditions/hdmi-เสีย.md,PASS,0,1323,""
src/content/conditions/macbook-battery-health.md,PASS,0,2592,""
src/content/conditions/macbook-battery-swollen.md,PASS,0,1148,""
src/content/conditions/macbook-charge-port.md,PASS,0,1120,""
src/content/conditions/macbook-cycle-count.md,PASS,0,1114,""
src/content/conditions/macbook-keyboard-issue.md,PASS,0,1056,""
src/content/conditions/macbook-mdm.md,PASS,0,2094,""
src/content/conditions/macbook-no-box-no-receipt.md,PASS,0,1328,""
src/content/conditions/macbook-screen-crack.md,PASS,0,1146,""
src/content/conditions/ssd-เสีย.md,PASS,0,944,""
src/content/conditions/wifi-ไม่ติด.md,PASS,0,940,""
src/content/conditions/กล้องเสีย.md,PASS,0,1370,""
src/content/conditions/คีย์บอร์ดเสีย.md,PASS,0,1039,""
src/content/conditions/ค้างบ่อย.md,PASS,0,1008,""
src/content/conditions/จอฟ้า.md,PASS,0,1055,""
src/content/conditions/จอมีเส้น.md,PASS,0,972,""
src/content/conditions/จอแตก.md,PASS,0,2467,""
src/content/conditions/จอไม่ติดแต่เครื่องติด.md,PASS,0,1002,""
src/content/conditions/ช่องหูฟังเสีย.md,PASS,0,1162,""
src/content/conditions/ตกรุ่น.md,PASS,0,1300,""
src/content/conditions/ทัชสกรีนเสีย.md,PASS,0,1033,""
src/content/conditions/ทัชแพดเสีย.md,PASS,0,1103,""
src/content/conditions/บลูทูธใช้ไม่ได้.md,PASS,0,987,""
src/content/conditions/บอดี้แตก.md,PASS,0,999,""
src/content/conditions/บานพับแตก.md,PASS,0,936,""
src/content/conditions/บูตวน.md,PASS,0,915,""
src/content/conditions/ฝาหลังบวม.md,PASS,0,988,""
src/content/conditions/พอร์ต-type-c-เสีย.md,PASS,0,1058,""
src/content/conditions/พอร์ต-usb-เสีย.md,PASS,0,1382,""
src/content/conditions/พอร์ตแลนเสีย.md,PASS,0,921,""
src/content/conditions/พัดลมดัง.md,PASS,0,1130,""
src/content/conditions/รีสตาร์ทเอง.md,PASS,0,950,""
src/content/conditions/ร้อนจัดดับเอง.md,PASS,0,2595,""
src/content/conditions/ลำโพงเสีย.md,PASS,0,1518,""
src/content/conditions/ฮาร์ดดิสก์เสีย.md,PASS,0,1020,""
src/content/conditions/เครื่องเก่า.md,PASS,0,984,""
src/content/conditions/เครื่องเสีย.md,PASS,0,4080,""
src/content/conditions/เปิดไม่ติด.md,PASS,0,2670,""
src/content/conditions/เมนบอร์ดเสีย.md,PASS,0,1156,""
src/content/conditions/แบตเสื่อม.md,PASS,0,2443,""
src/content/conditions/โดนน้ำ.md,PASS,0,1063,""
src/content/conditions/ใช้งานปกติ.md,PASS,0,1016,""
src/content/conditions/ไฟไม่เข้า.md,PASS,0,1046,""
src/content/conditions/ไม่มีที่ชาร์จ.md,PASS,0,2546,""
src/content/locations/กระบี่.md,PASS,0,2390,""
src/content/locations/กรุงเทพ.md,PASS,0,2331,""
src/content/locations/กาญจนบุรี.md,PASS,0,2338,""
src/content/locations/กาฬสินธุ์.md,PASS,0,2337,""
src/content/locations/กำแพงเพชร.md,PASS,0,2314,""
src/content/locations/ขอนแก่น.md,PASS,0,2306,""
src/content/locations/จันทบุรี.md,PASS,0,2271,""
src/content/locations/ฉะเชิงเทรา.md,PASS,0,2347,""
src/content/locations/ชลบุรี.md,PASS,0,2318,""
src/content/locations/ชัยนาท.md,PASS,0,2314,""
src/content/locations/ชัยภูมิ.md,PASS,0,2323,""
src/content/locations/ชุมพร.md,PASS,0,2290,""
src/content/locations/ตรัง.md,PASS,0,2376,""
src/content/locations/ตราด.md,PASS,0,2283,""
src/content/locations/ตาก.md,PASS,0,2278,""
src/content/locations/นครนายก.md,PASS,0,2260,""
src/content/locations/นครปฐม.md,PASS,0,2253,""
src/content/locations/นครพนม.md,PASS,0,2315,""
src/content/locations/นครราชสีมา.md,PASS,0,2322,""
src/content/locations/นครศรีธรรมราช.md,PASS,0,2319,""
src/content/locations/นครสวรรค์.md,PASS,0,2319,""
src/content/locations/นนทบุรี.md,PASS,0,2331,""
src/content/locations/นราธิวาส.md,PASS,0,2306,""
src/content/locations/น่าน.md,PASS,0,2378,""
src/content/locations/บางนา.md,PASS,0,2394,""
src/content/locations/บึงกาฬ.md,PASS,0,2254,""
src/content/locations/บุรีรัมย์.md,PASS,0,2336,""
src/content/locations/ปทุมธานี.md,PASS,0,2295,""
src/content/locations/ประจวบคีรีขันธ์.md,PASS,0,2364,""
src/content/locations/ปราจีนบุรี.md,PASS,0,2330,""
src/content/locations/ปัตตานี.md,PASS,0,2259,""
src/content/locations/พระราม2.md,PASS,0,2270,""
src/content/locations/พะเยา.md,PASS,0,2287,""
src/content/locations/พังงา.md,PASS,0,2285,""
src/content/locations/พัทยา.md,PASS,0,2311,""
src/content/locations/พัทลุง.md,PASS,0,2297,""
src/content/locations/พิจิตร.md,PASS,0,2271,""
src/content/locations/พิษณุโลก.md,PASS,0,2308,""
src/content/locations/ภาคอีสาน.md,PASS,0,2313,""
src/content/locations/ภูเก็ต.md,PASS,0,2292,""
src/content/locations/มหาสารคาม.md,PASS,0,2413,""
src/content/locations/มุกดาหาร.md,PASS,0,2329,""
src/content/locations/ยะลา.md,PASS,0,2238,""
