claim,url_or_file,snippet,status
has_branch,src/content/brands/surface-laptop-go.md,"ร 0642579353 ร้านตั้งที่อุบลราชธานี ไม่มีสาขาจังหวัดอื่น ## ลิงก์รุ่นใกล้เคียง - [S",Valid_negation
has_branch,src/content/conditions/กล้องเสีย.md,"0642579353 — หน้าร้านอยู่อุบลราชธานี ไม่มีสาขาจังหวัดอื่น ## ปัจจัยราคาเฉพาะอาการกล้อ",Valid_negation
has_branch,src/content/conditions/ตกรุ่น.md,"ebuy หรือโทร 0642579353 ร้านอยู่อุบล ไม่มีสาขาอื่น ## อะไรกำหนดราคาเครื่องตกรุ่น - ร",Valid_negation
has_branch,src/content/locations/กระบี่.md,"บเขตบริการในพื้นที่นี้ จังหวัดกระบี่ไม่มีสาขาของร้าน — การรับซื้อทำผ่านไลน์ @webuy เป",Valid_negation
branch_office,src/content/locations/กาญจนบุรี.md,"บริการผ่านการนัดหมายหรือการจัดส่ง ไม่ใช่สาขาประจำจังหวัด ## เครื่องเรียน/มหาวิทยาลัยในกา",Valid_negation
has_branch,src/content/locations/กาฬสินธุ์.md," สาขาหรือแค่พื้นที่บริการ อย่าเข้าใจว่ามีสาขาในกาฬสินธุ์ บริการในพื้นที่นี้คือประเมิน",Valid_negation
has_branch,src/content/locations/กำแพงเพชร.md,"รือแค่พื้นที่บริการ จังหวัดกำแพงเพชรไม่มีสาขาของร้าน — การรับซื้อทำผ่านไลน์ @webuy เป",Valid_negation
has_branch,src/content/locations/ขอนแก่น.md,"เขตบริการในพื้นที่นี้ จังหวัดขอนแก่นไม่มีสาขาของร้าน — การรับซื้อทำผ่านไลน์ @webuy เป",Valid_negation
has_branch,src/content/locations/จันทบุรี.md,"ขตบริการในพื้นที่นี้ จังหวัดจันทบุรีไม่มีสาขาของร้าน — การรับซื้อทำผ่านไลน์ @webuy เป",Valid_negation
has_branch,src/content/locations/ฉะเชิงเทรา.md," ขอบเขตบริการในพื้นที่นี้ อย่าเข้าใจว่ามีสาขาในฉะเชิงเทรา บริการในพื้นที่นี้คือประเมิ",Valid_negation
has_branch,src/content/locations/ชลบุรี.md," ## หน้าร้านอยู่ที่ไหน จังหวัดชลบุรีไม่มีสาขาของร้าน — การรับซื้อทำผ่านไลน์ @webuy เป",Valid_negation
has_branch,src/content/locations/ชัยนาท.md,"ขาหรือแค่พื้นที่บริการ จังหวัดชัยนาทไม่มีสาขาของร้าน — การรับซื้อทำผ่านไลน์ @webuy เป",Valid_negation
has_branch,src/content/locations/ชัยภูมิ.md,"าหรือแค่พื้นที่บริการ จังหวัดชัยภูมิไม่มีสาขาของร้าน — การรับซื้อทำผ่านไลน์ @webuy เป",Valid_negation
has_branch,src/content/locations/ชุมพร.md,"น้าร้านอยู่อุบลราชธานี ไม่ได้แปลว่าชุมพรมีสาขา ไม่ต้องลิสต์ทุกตำบล แค่บอกว่าใกล้ เมือง",Valid_negation
has_branch,src/content/locations/ตรัง.md," สาขาหรือแค่พื้นที่บริการ อย่าเข้าใจว่ามีสาขาในตรัง บริการในพื้นที่นี้คือประเมินจากรู",Valid_negation
has_branch,src/content/locations/ตราด.md," ขอบเขตบริการในพื้นที่นี้ อย่าเข้าใจว่ามีสาขาในตราด บริการในพื้นที่นี้คือประเมินจากรู",Valid_negation
has_branch,src/content/locations/ตาก.md," หน้าร้านอยู่อุบลราชธานี ไม่ได้แปลว่าตากมีสาขา แอด @webuy ส่งรูปได้ทันที เบอร์ 0642579",Valid_negation
has_branch,src/content/locations/นครพนม.md," สาขาหรือแค่พื้นที่บริการ อย่าเข้าใจว่ามีสาขาในนครพนม บริการในพื้นที่นี้คือประเมินจาก",Valid_negation
has_branch,src/content/locations/นครราชสีมา.md,"บริการในพื้นที่นี้ จังหวัดนครราชสีมาไม่มีสาขาของร้าน — การรับซื้อทำผ่านไลน์ @webuy เป",Valid_negation
has_branch,src/content/locations/นครศรีธรรมราช.md," สาขาหรือแค่พื้นที่บริการ อย่าเข้าใจว่ามีสาขาในนครศรีธรรมราช บริการในพื้นที่นี้คือประ",Valid_negation
branch_office,src/content/locations/นครสวรรค์.md,"บริการผ่านการนัดหมายหรือการจัดส่ง ไม่ใช่สาขาประจำจังหวัด ## แนวทางแพ็กและจัดส่งหลังตกลงเ",Valid_negation
has_branch,src/content/locations/นนทบุรี.md,"าหรือแค่พื้นที่บริการ จังหวัดนนทบุรีไม่มีสาขาของร้าน — การรับซื้อทำผ่านไลน์ @webuy เป",Valid_negation
has_branch,src/content/locations/นราธิวาส.md,"# หน้าร้านอยู่ที่ไหน จังหวัดนราธิวาสไม่มีสาขาของร้าน — การรับซื้อทำผ่านไลน์ @webuy เป",Valid_negation
