query,page,clicks,impressions,ctr,position,intent,cluster,data_note,export_filter,export_file_date,chart_start,chart_end
asus rog flow z13 มือสอง,UNKNOWN_NO_QUERY_PAGE_DIMENSION,1.0,1.0,1.0,36.0,Brand/model-specific,brand_rog_flow_z13,GSC UI export has separate Queries and Pages sheets only,3 เดือนล่าสุด,2026-07-30,2026-04-29,2026-07-28
รับรีวิวโน้ตบุ๊ค,UNKNOWN_NO_QUERY_PAGE_DIMENSION,0.0,23.0,0.0,62.13,Irrelevant,irrelevant_review,GSC UI export has separate Queries and Pages sheets only,3 เดือนล่าสุด,2026-07-30,2026-04-29,2026-07-28
microsoft surface มือสอง,UNKNOWN_NO_QUERY_PAGE_DIMENSION,0.0,6.0,0.0,35.0,Brand/model-specific,brand_surface,GSC UI export has separate Queries and Pages sheets only,3 เดือนล่าสุด,2026-07-30,2026-04-29,2026-07-28
โน๊ ต บุ๊ค acer ขายได้ เท่า ไหร่,UNKNOWN_NO_QUERY_PAGE_DIMENSION,0.0,5.0,0.0,52.0,Valuation,valuation_acer,GSC UI export has separate Queries and Pages sheets only,3 เดือนล่าสุด,2026-07-30,2026-04-29,2026-07-28
rog flow z13 มือสอง,UNKNOWN_NO_QUERY_PAGE_DIMENSION,0.0,4.0,0.0,39.25,Brand/model-specific,brand_rog_flow_z13,GSC UI export has separate Queries and Pages sheets only,3 เดือนล่าสุด,2026-07-30,2026-04-29,2026-07-28
ขายโน๊ตบุ๊คที่ไหนดี,UNKNOWN_NO_QUERY_PAGE_DIMENSION,0.0,4.0,0.0,48.0,Commercial investigation,commercial_where_to_sell,GSC UI export has separate Queries and Pages sheets only,3 เดือนล่าสุด,2026-07-30,2026-04-29,2026-07-28
รับรีวิว notebook,UNKNOWN_NO_QUERY_PAGE_DIMENSION,0.0,3.0,0.0,57.0,Irrelevant,irrelevant_review,GSC UI export has separate Queries and Pages sheets only,3 เดือนล่าสุด,2026-07-30,2026-04-29,2026-07-28
โน๊ตบุ๊คมือสอง ขอนแก่น,UNKNOWN_NO_QUERY_PAGE_DIMENSION,0.0,2.0,0.0,42.5,Local intent,local_khonkaen_used,GSC UI export has separate Queries and Pages sheets only,3 เดือนล่าสุด,2026-07-30,2026-04-29,2026-07-28
รับซื้อ notebook,UNKNOWN_NO_QUERY_PAGE_DIMENSION,0.0,2.0,0.0,95.0,Transactional,core_notebook_en,GSC UI export has separate Queries and Pages sheets only,3 เดือนล่าสุด,2026-07-30,2026-04-29,2026-07-28
รับซื้อโน๊ตบุ๊ค กระบี่,UNKNOWN_NO_QUERY_PAGE_DIMENSION,0.0,1.0,0.0,17.0,Local intent,local_krabi,GSC UI export has separate Queries and Pages sheets only,3 เดือนล่าสุด,2026-07-30,2026-04-29,2026-07-28
น้ำหกใส่ โน๊ ต. บุค ซ่อม กี่ บาท,UNKNOWN_NO_QUERY_PAGE_DIMENSION,0.0,1.0,0.0,45.0,Condition-specific,condition_liquid,GSC UI export has separate Queries and Pages sheets only,3 เดือนล่าสุด,2026-07-30,2026-04-29,2026-07-28
ขายทอดตลาดครุภัณฑ์,UNKNOWN_NO_QUERY_PAGE_DIMENSION,0.0,1.0,0.0,48.0,Irrelevant,irrelevant_auction,GSC UI export has separate Queries and Pages sheets only,3 เดือนล่าสุด,2026-07-30,2026-04-29,2026-07-28
รับซื้อ ฮาร์ดดิสก์ ใกล้ฉัน,UNKNOWN_NO_QUERY_PAGE_DIMENSION,0.0,1.0,0.0,65.0,Local intent,local_near_me,GSC UI export has separate Queries and Pages sheets only,3 เดือนล่าสุด,2026-07-30,2026-04-29,2026-07-28
ร้านรับซื้อโน๊ตบุ๊คเสีย ใกล้ฉัน,UNKNOWN_NO_QUERY_PAGE_DIMENSION,0.0,1.0,0.0,74.0,Local intent,local_near_broken,GSC UI export has separate Queries and Pages sheets only,3 เดือนล่าสุด,2026-07-30,2026-04-29,2026-07-28
ขายทอดตลาดพัสดุ,UNKNOWN_NO_QUERY_PAGE_DIMENSION,0.0,1.0,0.0,80.0,Irrelevant,irrelevant_auction,GSC UI export has separate Queries and Pages sheets only,3 เดือนล่าสุด,2026-07-30,2026-04-29,2026-07-28
รับซื้อmacbook,UNKNOWN_NO_QUERY_PAGE_DIMENSION,0.0,1.0,0.0,93.0,Brand/model-specific,brand_macbook,GSC UI export has separate Queries and Pages sheets only,3 เดือนล่าสุด,2026-07-30,2026-04-29,2026-07-28
