page,path,page_type,clicks,impressions,ctr,position,impression_share_of_pages_sheet,notes
https://ร้านรับซื้อโน๊ตบุ๊ค.com/,/,root,0.0,37.0,0.0,45.68,0.1423,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer/,/รับซื้อโน๊ตบุ๊ค/acer/,hub_child_brand_or_location_or_condition,0.0,12.0,0.0,38.75,0.0462,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/surface/,/รับซื้อโน๊ตบุ๊ค/surface/,hub_child_brand_or_location_or_condition,0.0,10.0,0.0,39.0,0.0385,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/,/blog/,blog,0.0,9.0,0.0,3.33,0.0346,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อ-notebook/,/รับซื้อ-notebook/,money_notebook_en,0.0,8.0,0.0,27.62,0.0308,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus-rog-flow/,/รับซื้อโน๊ตบุ๊ค/asus-rog-flow/,hub_child_brand_or_location_or_condition,2.0,7.0,0.2857,43.14,0.0269,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/ขายโน๊ตบุ๊ค/,/ขายโน๊ตบุ๊ค/,money_sell_guide,0.0,7.0,0.0,6.71,0.0269,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/sitemap/,/sitemap/,other,0.0,6.0,0.0,4.33,0.0231,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/พื้นที่ให้บริการ/,/พื้นที่ให้บริการ/,other,0.0,6.0,0.0,4.5,0.0231,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/เกี่ยวกับเรา/,/เกี่ยวกับเรา/,other,0.0,6.0,0.0,14.5,0.0231,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/โน๊ตบุ๊คติดรหัส-windows-ขายได้ไหม/,/blog/โน๊ตบุ๊คติดรหัส-windows-ขายได้ไหม/,blog,1.0,5.0,0.2,9.0,0.0192,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/รับซื้อ-gaming-notebook-rtx-3050-4050-4060-ราคาเท่าไหร่/,/blog/รับซื้อ-gaming-notebook-rtx-3050-4050-4060-ราคาเท่าไหร่/,blog,0.0,5.0,0.0,21.4,0.0192,Page sheet only; cannot attribute queries
