metric_scope,url_or_query,clicks,impressions,ctr,position,period_label,period_start,period_end,source,notes
site_chart_total,ALL,9.0,157.0,,,3 เดือนล่าสุด,2026-04-29,2026-07-28,แผนผัง,Daily chart sums
country_th,ไทย,9.0,141.0,0.0638,39.84,3 เดือนล่าสุด,2026-04-29,2026-07-28,ประเทศ,
page,/,0.0,37.0,0.0,45.68,3 เดือนล่าสุด,2026-04-29,2026-07-28,หน้า,Highest page impressions; 0 clicks
page,/รับซื้อ-notebook/,0.0,8.0,0.0,27.62,3 เดือนล่าสุด,2026-04-29,2026-07-28,หน้า,
page,/รับซื้อโน๊ตบุ๊คมือสอง/,0.0,3.0,0.0,3.0,3 เดือนล่าสุด,2026-04-29,2026-07-28,หน้า,Strong avg position 3 but tiny imps
page,/เช็คราคาโน๊ตบุ๊ค/,0.0,1.0,0.0,9.0,3 เดือนล่าสุด,2026-04-29,2026-07-28,หน้า,
page,/ตีราคาโน๊ตบุ๊ค/,0.0,2.0,0.0,7.5,3 เดือนล่าสุด,2026-04-29,2026-07-28,หน้า,
page,/ขายโน๊ตบุ๊ค/,0.0,7.0,0.0,6.71,3 เดือนล่าสุด,2026-04-29,2026-07-28,หน้า,
query,รับซื้อ notebook,0,2,0,95,3 เดือนล่าสุด,2026-04-29,2026-07-28,ข้อความค้นหา,Page unknown
query,รับซื้อโน๊ตบุ๊ค (exact),ABSENT,ABSENT,,,3 เดือนล่าสุด,2026-04-29,2026-07-28,ข้อความค้นหา,Not in exported top queries
