page_a,page_b,jaccard,level
asus-rog-ally-x,acer-nitro-16,0.068,LOW
asus-rog-ally-x,asus-zephyrus-g14,0.089,LOW
asus-rog-ally-x,hp-victus-15,0.078,LOW
asus-rog-ally-x,lenovo-legion-5,0.037,LOW
asus-rog-ally-x,thinkpad-x1-carbon,0.058,LOW
asus-rog-ally-x,macbook-pro-m3,0.071,LOW
asus-rog-ally-x,macbook-air-m3,0.083,LOW
asus-rog-ally-x,macbook-air-m4,0.084,LOW
asus-rog-ally-x,macbook-air-m5,0.081,LOW
acer-nitro-16,asus-zephyrus-g14,0.158,LOW
acer-nitro-16,hp-victus-15,0.144,LOW
acer-nitro-16,lenovo-legion-5,0.053,LOW
acer-nitro-16,thinkpad-x1-carbon,0.078,LOW
acer-nitro-16,macbook-pro-m3,0.072,LOW
acer-nitro-16,macbook-air-m3,0.070,LOW
acer-nitro-16,macbook-air-m4,0.089,LOW
acer-nitro-16,macbook-air-m5,0.063,LOW
asus-zephyrus-g14,hp-victus-15,0.174,LOW
asus-zephyrus-g14,lenovo-legion-5,0.099,LOW
asus-zephyrus-g14,thinkpad-x1-carbon,0.109,LOW
asus-zephyrus-g14,macbook-pro-m3,0.099,LOW
asus-zephyrus-g14,macbook-air-m3,0.092,LOW
asus-zephyrus-g14,macbook-air-m4,0.101,LOW
asus-zephyrus-g14,macbook-air-m5,0.090,LOW
hp-victus-15,lenovo-legion-5,0.087,LOW
hp-victus-15,thinkpad-x1-carbon,0.089,LOW
hp-victus-15,macbook-pro-m3,0.119,LOW
hp-victus-15,macbook-air-m3,0.112,LOW
hp-victus-15,macbook-air-m4,0.114,LOW
hp-victus-15,macbook-air-m5,0.098,LOW
lenovo-legion-5,thinkpad-x1-carbon,0.105,LOW
lenovo-legion-5,macbook-pro-m3,0.042,LOW
lenovo-legion-5,macbook-air-m3,0.038,LOW
lenovo-legion-5,macbook-air-m4,0.046,LOW
lenovo-legion-5,macbook-air-m5,0.037,LOW
thinkpad-x1-carbon,macbook-pro-m3,0.070,LOW
thinkpad-x1-carbon,macbook-air-m3,0.067,LOW
thinkpad-x1-carbon,macbook-air-m4,0.099,LOW
thinkpad-x1-carbon,macbook-air-m5,0.066,LOW
macbook-pro-m3,macbook-air-m3,0.308,LOW
macbook-pro-m3,macbook-air-m4,0.315,LOW
macbook-pro-m3,macbook-air-m5,0.264,LOW
macbook-air-m3,macbook-air-m4,0.464,MODERATE
macbook-air-m3,macbook-air-m5,0.452,MODERATE
macbook-air-m4,macbook-air-m5,0.439,MODERATE
