label,url,status,final_or_redirect,redirect_hops,title,canonical,robots,h1,x_robots_tag,hub_exact_href,assets,result,checked_timestamp,main_sha,production_sha_note,evidence
root,https://ร้านรับซื้อโน๊ตบุ๊ค.com/,200,,0,รับซื้อโน๊ตบุ๊ค ประเมินตามรุ่น สเปก และสภาพจริง | ร้านรับซื้อโน๊ตบุ๊ค.com,https://ร้านรับซื้อโน๊ตบุ๊ค.com/,,รับซื้อโน๊ตบุ๊ค ประเมินตามรุ่น สเปก และสภาพจริง,,False,size=132290,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
hub_slash,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/,301,https://xn--42cn4aobed0eb6hubj4es0m5dhvd.com/?qa=1785840052795,1,,,,,,False,size=0,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=301; xr=; loc=https://xn--42cn4aobed0eb6hubj4es0m5dhvd.com/?qa=1785840052795
hub_no_slash,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค,301,https://xn--42cn4aobed0eb6hubj4es0m5dhvd.com/?qa=1785840052893,1,,,,,,False,size=0,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=301; xr=; loc=https://xn--42cn4aobed0eb6hubj4es0m5dhvd.com/?qa=1785840052893
hub_encoded,https://xn--42cn4aobed0eb6hubj4es0m5dhvd.com/%E0%B8%A3%E0%B8%B1%E0%B8%9A%E0%B8%8B%E0%B8%B7%E0%B9%89%E0%B8%AD%E0%B9%82%E0%B8%99%E0%B9%8A%E0%B8%95%E0%B8%9A%E0%B8%B8%E0%B9%8A%E0%B8%84/,301,https://xn--42cn4aobed0eb6hubj4es0m5dhvd.com/?qa=1785840053023,1,,,,,,False,size=0,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=301; xr=; loc=https://xn--42cn4aobed0eb6hubj4es0m5dhvd.com/?qa=1785840053023
notebook,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อ-notebook/,200,,0,รับซื้อ Notebook ประเมินตามสภาพจริง | ร้านรับซื้อโน๊ตบุ๊ค.com,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อ-notebook/,,รับซื้อ Notebook ประเมินราคาตามสเปกและสภาพการใช้งานจริง,,False,size=47187,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
ms,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊คมือสอง/,200,,0,รับซื้อโน๊ตบุ๊คมือสอง ประเมินตามสภาพจริง | ร้านรับซื้อโน๊ตบุ๊ค.com,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊คมือสอง/,,รับซื้อโน๊ตบุ๊คมือสอง ประเมินตามสภาพการใช้งานจริงและรุ่นเครื่อง,,False,size=49604,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
admin_slash,https://ร้านรับซื้อโน๊ตบุ๊ค.com/admin/,200,,0,Content Manager | ร้านรับซื้อโน๊ตบุ๊ค.com,,"noindex, nofollow",,"noindex, nofollow",False,size=956,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,"status=200; xr=noindex, nofollow; loc="
robots,https://ร้านรับซื้อโน๊ตบุ๊ค.com/robots.txt,200,,0,robots.txt,,,,,False,size=2305,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
sm_index,https://ร้านรับซื้อโน๊ตบุ๊ค.com/sitemap-index.xml,200,,0,xml locs=1,,,,,False,size=207,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
sm0,https://ร้านรับซื้อโน๊ตบุ๊ค.com/sitemap-0.xml,200,,0,xml locs=371,,,,,False,size=120649,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
about,https://ร้านรับซื้อโน๊ตบุ๊ค.com/เกี่ยวกับเรา/,200,,0,เกี่ยวกับเรา | ร้านรับซื้อโน๊ตบุ๊ค.com,https://ร้านรับซื้อโน๊ตบุ๊ค.com/เกี่ยวกับเรา/,,เกี่ยวกับ ร้านรับซื้อโน๊ตบุ๊ค.com,,False,size=46167,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
contact,https://ร้านรับซื้อโน๊ตบุ๊ค.com/ติดต่อเรา/,200,,0,ติดต่อเรา | ร้านรับซื้อโน๊ตบุ๊ค.com,https://ร้านรับซื้อโน๊ตบุ๊ค.com/ติดต่อเรา/,,ติดต่อเรา,,False,size=40593,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
blog,https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/,200,,0,บทความ | ร้านรับซื้อโน๊ตบุ๊ค.com,https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/,,บทความ,,False,size=167752,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
check_price,https://ร้านรับซื้อโน๊ตบุ๊ค.com/เช็คราคาโน๊ตบุ๊ค/,200,,0,เช็คราคาโน๊ตบุ๊ค ประเมินราคาฟรีก่อนขาย | ร้านรับซื้อโน๊ตบุ๊ค.com,https://ร้านรับซื้อโน๊ตบุ๊ค.com/เช็คราคาโน๊ตบุ๊ค/,,เช็คราคาโน๊ตบุ๊ค ประเมินราคาเบื้องต้นฟรีจากข้อมูลจริง,,False,size=48056,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
sell,https://ร้านรับซื้อโน๊ตบุ๊ค.com/ขายโน๊ตบุ๊ค/,200,,0,ขายโน๊ตบุ๊ค คู่มือเตรียมเครื่องก่อนส่งมอบ | ร้านรับซื้อโน๊ตบุ๊ค.com,https://ร้านรับซื้อโน๊ตบุ๊ค.com/ขายโน๊ตบุ๊ค/,,ขายโน๊ตบุ๊ค คู่มือการเตรียมตัวและขั้นตอนการขายอย่างปลอดภัย,,False,size=48346,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
404,https://ร้านรับซื้อโน๊ตบุ๊ค.com/this-page-does-not-exist-release-qa/,404,,0,,,,,,False,size=0,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=404; xr=; loc=
webp,https://ร้านรับซื้อโน๊ตบุ๊ค.com/images/blog/cpu-specs-notebook-price.webp,200,,0,bytes=57180,,,,,False,size=57180,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
png_gone,https://ร้านรับซื้อโน๊ตบุ๊ค.com/images/blog/cpu-specs-notebook-price.png,404,,0,bytes=0,,,,,False,size=0,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=404; xr=; loc=
cond_จอแตก,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/จอแตก/,200,,0,รับซื้อโน๊ตบุ๊คจอแตก ประเมินตามรุ่นและสภาพชิ้นส่วนที่เหลือ | ร้านรับซื้อโน๊ตบุ๊ค.com,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/จอแตก/,,รับซื้อโน๊ตบุ๊คจอแตก ส่งรูปจอและสเปกเพื่อประเมินตามสภาพจริง,,False,size=59297,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
cond_เปิดไม่ติด,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/เปิดไม่ติด/,200,,0,ขายโน๊ตบุ๊คเปิดไม่ติดได้ไหม ส่งอาการให้ร้านประเมินก่อน | ร้านรับซื้อโน๊ตบุ๊ค.com,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/เปิดไม่ติด/,,รับซื้อโน๊ตบุ๊คเปิดไม่ติด ประเมินจากอาการ รุ่น และชิ้นส่วนที่ยังใช้ได้,,False,size=60538,PASS,2026-08-04T10:40:52Z,69eb245e18e27ccd508b098b1065ca8a9075af2c,CONTENT_FINGERPRINT_MATCH_REMEDIATION; GHA_WRANGLER_DEPLOY_FAILED,status=200; xr=; loc=
