slug,page_type,brand,family,series,marketing_name,model_family,model_code,machine_type,product_number,region_code,generation,normalization_status
acer-aspire-5,Model,Acer,acer-aspire-5,acer-aspire,acer-aspire-5,acer-aspire-5,5,,,,,OK
acer-nitro-16,Model,Acer,acer-nitro-16,acer-nitro,acer-nitro-16,acer-nitro-16,16,,,,,OK
acer-nitro-17,Model,Acer,acer-nitro-17,acer-nitro,acer-nitro-17,acer-nitro-17,17,,,,,OK
acer-nitro-v,Model,Acer,acer-nitro-v,acer-nitro,acer-nitro-v,acer-nitro-v,v,,,,,OK
acer-predator-helios,Model,Acer,acer-predator-helios,acer-predator,acer-predator-helios,acer-predator-helios,helios,,,,,OK
acer-predator-neo,Model,Acer,acer-predator-neo,acer-predator,acer-predator-neo,acer-predator-neo,neo,,,,,OK
acer-predator-triton,Model,Acer,acer-predator-triton,acer-predator,acer-predator-triton,acer-predator-triton,triton,,,,,OK
acer-swift,Series,Acer,acer-swift,acer-swift,acer-swift,acer-swift,,,,,,OK
acer-travelmate,Series,Acer,acer-travelmate,acer-travelmate,acer-travelmate,acer-travelmate,,,,,,OK
alienware-m15-r7-r8,Model,Dell,Alienware,alienware-m15,alienware-m15-r7-r8,alienware-m15-r7-r8,r7-r8,,,,,OK
alienware-m16,Model,Dell,Alienware,alienware-m16,alienware-m16,alienware-m16,,,,,,OK
alienware-m18,Model,Dell,Alienware,alienware-m18,alienware-m18,alienware-m18,,,,,,OK
alienware-x16,Series,Dell,Alienware,alienware-x16,alienware-x16,alienware-x16,,,,,,OK
asus-expertbook,Series,ASUS,asus-expertbook,asus-expertbook,asus-expertbook,asus-expertbook,,,,,,OK
asus-rog-ally-x,Model,ASUS,asus-rog-ally-x,asus-rog,asus-rog-ally-x,asus-rog-ally-x,ally-x,,,,,OK
asus-rog-flow,Model,ASUS,asus-rog-flow,asus-rog,asus-rog-flow,asus-rog-flow,flow,,,,,OK
asus-rog-strix,Model,ASUS,asus-rog-strix,asus-rog,asus-rog-strix,asus-rog-strix,strix,,,,,OK
asus-tuf-a15-f15,Model,ASUS,asus-tuf-a15-f15,asus-tuf,asus-tuf-a15-f15,asus-tuf-a15-f15,a15-f15,,,,,OK
asus-vivobook,Series,ASUS,asus-vivobook,asus-vivobook,asus-vivobook,asus-vivobook,,,,,,OK
asus-zenbook,Series,ASUS,asus-zenbook,asus-zenbook,asus-zenbook,asus-zenbook,,,,,,OK
